question_number,answer_number,speaker_name,role,company,content,year,quarter
1,,Ken Usdin,analyst,Autonomous Research,"Good morning, Jeremy. Wondering if you could start by just kind of amplifying just the macro commentary that you started off on. And given the uncertainty in the world that you referenced, just how are you seeing the activity change across the customer base from consumers to wholesale? And can you just talk through how that's also just informing any changes in your – some of your growth and reserving expectations? Thanks.",2025,Q1
1,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Sure, Ken. So I mean, at a high level, I would say that obviously, some of the salient news flow is quite recent. So, we've done some soundings and some checking both on the consumer side and on the wholesale side. I think on the consumer side, the thing to check is the spending data. And to be honest, the main thing that we see there, what would appear to be a certain amount of frontloading of spending ahead of people expecting price increases from tariffs. So ironically, that's actually somewhat supportive, all else equal. But I think what it sort of highlights is that during this transitional period and this elevated uncertainty, you might see some distortions in the data that make it hard to draw larger conclusions. In terms of our corporate clients, obviously, they've been reacting to the changes in tariff policy. And at the margin, that shifts their focus away from more strategic priorities with obvious implications for the Investment Banking pipeline outlook towards more short-term work, optimizing supply chains and trying to figure out how they're going to respond to the current environment. So as a result, I think we would characterize what we're hearing from our corporate clients as a little bit of a wait-and-see attitude. I do think you see obvious differences across sectors. Some sectors are going to be much more exposed than others and have more complicated problems to solve. And also across the size of the clients, I think smaller clients, small business and smaller corporates are probably a little bit more challenged. I think the larger corporates have a bit more experience dealing with these things and more resources to manage. So that's a little bit our read of the situation right now. But certainly, a bit of a wait-and-see attitude. It's hard to make long-term decisions right now, and so we'll see how that plays out.",2025,Q1
2,,Ken Usdin,analyst,Autonomous Research,"Yeah. And just one question on the NII ex. Markets holding at $90 billion. Can you just walk us through the puts and takes of just what's the new curve you're using, which also is subject to change every day and what might have been some of the positive offsets to if you put in more expected cuts than you had before? Thanks.",2025,Q1
2,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah, that's a good question, Ken. You're right. So if you remember, last quarter we said that we had one cut in the curve. I think latest curve has something like three cuts. And so, we've talked a lot, obviously, about how we are asset sensitive. You now see our EaR disclosed in the supplement, and probably our empirical EaR is a little bit higher than our modeled EaR as a result of the relatively low – lower than modeled rates paid in Consumer. So when you put that together, all else equal, the drop in the weighted-average IORB, which is about 22 basis points, should produce a notable headwind in our NII ex. Markets.",2025,Q1
2,2,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,In the curve basically.,2025,Q1
2,3,Jeremy Barnum,Chief Financial Officer,JPMorganChase,Yeah. This is basically – that's just mechanically...,2025,Q1
2,4,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,This is guaranteed not to happen.,2025,Q1
2,5,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"So that's mechanically just flowing through the curve. So yeah, your question is that given that, why are you not revising down? And the answer to that is that across all the puts and takes actually, our number is a tiny bit lower. It's just not enough to warrant a change in the outlook. But we do have some offsets. So we have some balance effects that are favorable. You will have noted that I talked about higher wholesale deposit balances, for example. We see beta outperforming in a couple of different places in CDs and in wholesale. The other thing is that you'll recall, we talked before about having a placeholder in our NII outlook for the potential impact of the Card late fee rule. We've now removed that. So that's a little bit of an offset as well. So that's kind of how you get to unchanged, even though clearly, all else equal, the lower expected front-end rates are a headwind. Operator: Thank you. Our next question comes from Erika Najarian with UBS. You may proceed.",2025,Q1
3,,Erika Najarian,analyst,UBS Securities LLC,"Yes. Good morning. This question is for Jamie. Jamie, you were on the media today talking about potential economic turbulence. But Jeremy also mentioned that banking should be – the banking system should be a source of strength in this turbulence. The equity market always seems to think about the banks as weaker players given how they trade the stocks more on sentiment and fear rather than the math of – the ability of banks to absorb provisions going forward, if we do fall into a slower economic downturn. So, I guess, just the question here is, can you double-click on how you think this is going to impact the economy going forward and maybe double-click on Jeremy's statement that the banking system should be a source of strength?",2025,Q1
3,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"I just – before Jamie answers that, Erika, I just want to make one brief comment, which is the banking system being a source of strength means what it says. In other words, banks doing their job to support the economy. That's not a statement about bank equity performance and the extent to which banks are cyclical or not. Like obviously, a recessionary environment, as I've frequently said, all else equal, is bad for banks from an equity performance perspective. We're talking about the financial strength of banks' balance sheets and our ability to support our clients in a difficult moment.",2025,Q1
3,2,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Everyone trades stocks in a different way, so sentiment – but banks are a cork in the ocean when it comes to the economy. If the economy gets worse, credit losses will go up, volumes can change, deal curves can change. And we're not predicting all of that. What I would say is our excellent economist, Michael Feroli, I called him this morning, specifically to ask him, how they're looking at their forecast today, they think it's about 50-50 for a recession. So I'll just refer to that. Obviously, if there's a recession, credit losses will go up and other factors will change, too. And I think the one thing I'll add to what Jeremy said is – and I don't usually pay that much attention to anecdotes, but this time I am. And I think you're going to see a lot of companies – you guys – not you, but the analyst community has already reduced its earnings estimates for the S&P by 5%. So it's – now it's up 5% as opposed to up 10%. My guess is that will be zero and negative 5%, probably in the next month. And then you're going to hear 1,000 companies report, and they're going to tell you what their guidance is. My guess is a lot will remove it. They're going to tell you what they think it might do to their customers, their base, their earnings, their cost, their tariffs. It's different for every company. But I assume you'll see that. And anecdotally, a lot of people are not doing things because of this. They're going to wait and see. And that's M&A, that's M&A with middle market companies, that's people's hiring plans and stuff like that. So people have to adjust to this new environment. And I think we'll see what it is. I just also want to point out, just to – so you can round it up. This is to make you feel comfortable, not uncomfortable. When COVID hit, unemployment went from like 4% to 15% in a couple of months, and we had to add to reserves in a two-month period of $15 billion. And then to show you how stupid CECL is, in the three month – three quarter period, we took down the $15 billion. So, just – that just sizes up a bad recession. If it's a mild recession, it will be less than that. If it's a really bad recession, it will be more than that. Either way, we can handle it and serve our clients. Earnings won't be great and the stocks will go down, which I look at as an opportunity to buy back more stock.",2025,Q1
4,,Erika Najarian,analyst,UBS Securities LLC,"Got it. And a second follow-up question. And I don't disagree with you guys on equity market performance of bank stocks. It's just that the mindset of portfolio managers is they always go back to sort of the lowest common denominator of fundamental performance versus thinking about resilience. And to that point, the second question is on the reserve. Jeremy, you mentioned a weighted-average unemployment rate of 5.8%. I think that's above where economists are thinking we could peak even in a recession scenario. How should we think about any incremental builds from here? And what you are going – obviously, deterioration in the outlook, but what more do you need to see in terms of how you make decisions about further builds from here?",2025,Q1
4,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah, Erika, it's a good question. But the truth is there's just a little bit too much uncertainty right now for me to sort of give an outlook for reserves, which is generally not a thing that we do anyway. As I mentioned in my prepared remarks, the [indiscernible] forecast at the end of the quarter was the sort of bog standard, no landing, barely any increase in unemployment. Given that we knew at the time that there was – there were some big pending announcements, and there was quite a bit of elevated uncertainty around that, it felt like the forecasts were kind of lagging because people were just waiting to actually get the information and so it felt appropriate to add a little bit of downside skew to our probability assessment, which is what led to the increase and what led to the build.",2025,Q1
4,2,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"We use this weighted-average unemployment thing as a useful way to help explain what's going on inside the reserve. But obviously, the actual mechanisms are quite complex, the depth in any financial recession, the timing of it, distribution of outcomes, which sectors have hits, idiosyncratic stuff in wholesale. There's a lot. I think on consumer, as Jamie mentioned, it is worth remembering that by far the most important variable is unemployment. So if the labor market remains very strong, consumer credit will probably be fine. If it doesn't, then you're going to see it play through the way it always does.",2025,Q1
5,,Erika Najarian,analyst,UBS Securities LLC,Thank you. Operator: Thank you. Our next question…,2025,Q1
5,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Thanks, Erika. Operator: I apologize. Our next question comes from John McDonald with Truist Securities. You may proceed.",2025,Q1
6,,John McDonald,analyst,Truist Securities Inc.,"Hi, good morning. Jeremy, on that same topic, no change to the full year credit Card net charge-off forecast. How do we square that with the rising recession risk? Is it because you already have a couple of months of delinquencies kind of baked in the cake and this is more an issue for next year, or just too early to call?",2025,Q1
6,1,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,We should have not given you that forecast. We don't know what the number is going to be. That's a...,2025,Q1
7,,John McDonald,analyst,Truist Securities Inc.,Yeah.,2025,Q1
7,1,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"I would say that's a short-term number, and based on what's happening today, there's a wide range of potential outcomes.",2025,Q1
8,,John McDonald,analyst,Truist Securities Inc.,"Yeah. Okay. Okay, yeah, that's what we were kind of thinking. And then...",2025,Q1
8,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"But, mechanically, John, though, as you alluded to, there are some mechanical elements to the way Card charge-off works that means that it's pretty baked pretty far ahead of time.",2025,Q1
8,2,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,The next couple of quarters. Yeah.,2025,Q1
8,3,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"So, sort of echoing Jamie's point, it just doesn't necessarily tell you that much about what might actually happen through the end of the year. Even if unemployment were to increase significantly, it probably wouldn't flow through the charge-offs until later.",2025,Q1
9,,John McDonald,analyst,Truist Securities Inc.,"Okay. Got it. And then just on capital, how does this type of macro uncertainty impact your thinking around conserving capital as opposed to deploying it through your investment agenda and buybacks as the stock gets cheaper? Or just, are you still looking to arrest the increase or does this kind of change it?",2025,Q1
9,1,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"The investment that we do in banks, branches, technology, AI is going to continue regardless of the environment. And then we have – depending what happens to Basel III and CCAR and G-SIFI and all that, $30 billion to $60 billion of excess capital. And in the Chairman's letter, I wrote about what we think of that. But based upon the environment, the turbulence issues, I like having excess capital. We are prepared for any environment. And that's so we can serve clients. That's not for any other reason. So, we have plenty of capital and plenty of liquidity to get through whatever the stormy seas are.",2025,Q1
10,,John McDonald,analyst,Truist Securities Inc.,Okay. Thank you.,2025,Q1
10,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,Thanks John. Operator: Thank you. Our next question comes from Matt O'Connor with Deutsche Bank. Your line is open.,2025,Q1
11,,Matt O’Connor,analyst,"Deutsche Bank Securities, Inc.",Good morning. Just wanted to drill down on the credit card spend. Any comments in terms of changing patterns on the consumer card spend? There's been headlines in travel kind of going down. Just talk about some of the puts and takes in that up 7% year-over-year.,2025,Q1
11,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah, it's a good question and we're seeing that too. So let me talk about travel. I mean we obviously saw the airlines discuss what they are seeing as headwinds for them, specifically in airline travel, and we're seeing that too through the card spend. It's not obvious to us that that's necessarily an indicator for broader patterns. There are a variety of potential explanations for the narrow drop in airline spend. And as I mentioned previously, another thing that we are seeing looking at the April data is what would appear to be a little bit of front-loading of spending, specifically in items that might be – have prices go up as a function of tariffs. So you see people behaving rationally, and I have noted even you hear anecdotes, and I've seen evidence of companies specifically advertising we have pre-tariff inventory and so on and so forth. So it's not that surprising that you're seeing that a little bit in the spending data. The other thing that people are kind of interested in this space is like what's happening by income band, because we have seen some of the retailers and other folks talking about weaknesses in the lower income segment. And I think when we look at our Card data and also our cash buffers and peoples' checking accounts, of course, it is true that it is relatively weaker in the lower income segment. But when you take a step back and you ask, are we seeing signs of distress in the lower income segment? The answer is no. So, sure, the margin and cash buffers are lower, and you see some rotation of spend and spending is a little bit weaker than it was in the peak spending moments. But actually, some of the increases in spending that we're seeing in April are actually coming from the lower income segment. So no evidence of distress, I would say.",2025,Q1
12,,Matt O’Connor,analyst,"Deutsche Bank Securities, Inc.","Okay. That's helpful color. And then just separately, if we look at the delinquencies for the Home Lending, the increase both quarter-on-quarter and year-over-year, is that just some of the noise from the First Republic deal as you take the marks upfront and then those portfolios essentially re-season from an accounting point of view? Or is there something else going on there?",2025,Q1
12,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Sorry, the – I actually didn't hear. Which fees?",2025,Q1
12,2,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,Delinquencies in Home Lending.,2025,Q1
12,3,Jeremy Barnum,Chief Financial Officer,JPMorganChase,I didn't – interesting. I haven't looked at that. We'll have to get back to you on that,2025,Q1
12,4,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,I don't think it's anything...,2025,Q1
12,5,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Whatever it is, it wasn't important enough to get raised, so.",2025,Q1
12,6,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"It could be the First Republic accounting, yes",2025,Q1
12,7,Jeremy Barnum,Chief Financial Officer,JPMorganChase,Yeah. Anything is possible. We'll get back to you on that.,2025,Q1
13,,Matt O’Connor,analyst,"Deutsche Bank Securities, Inc.",Okay. Thank you. Operator: Thank you. Our next question comes from Steven Chubak with Wolfe Research. You may proceed.,2025,Q1
14,,Steven Chubak,analyst,Wolfe Research LLC,"Hi. Good morning and thanks for taking my questions. Wanted to start off with one on the proposed SLR changes and just the impact of rate volatility. The Treasury is committed to providing relief to the banks under the SLR just to help mitigate some of the volatility in the 10-year. But given the geopolitical concerns, weakening global demand for treasuries, how does it inform your appetite just for purchasing U.S. Treasuries if those reforms are implemented and just how you're managing rate risk maybe more holistically across the Firm, just in light of some the recent volatility?",2025,Q1
14,1,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Yes. So SLR alone isn't going to change that much for us. It may change for other people. We really need reform across SLR, G-SIFI, CCAR, Basel III and LCR, all of which have deep flaws in them to make a material change. And remember, it's not relief to the banks; it's relief to the markets. JPMorgan will be fine with/without an SLR change. The reason to change some of these things is so banks – the big market makers could intermediate more in the markets. If they don't – if they do, spreads will come in, there'll be more active traders. If they don't, the Fed will have to intermediate, which I think is just a bad policy idea that every time there's a kerfuffle in the markets, the Fed has to come in and intermediate. So they should make these changes. The point – the reason why is when you have very – a lot of volatile markets and very wide spreads and low liquidity in treasuries, it affects all other capital markets. That's the reason to do it; not as a favor to the banks themselves. And we don't take more interest rate exposure to this in any way, shape or form. So it's not like we're going to change our position. We intermediate in the markets to help clients do what they have to do. And if the banks could take bigger positions, they would have just larger dealer positions and take no – basically take not much more interest rate exposure. I should say that our folks did a fabulous job trading this quarter.",2025,Q1
14,2,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"And Steve, all I would add to that is that it is, of course, true, and we all remember the moment a few years ago when intermediaries were, in fact, bound by SLR as a result of the expansion of the deposit base, and extraordinary actions needed to be taken to address that. So we've seen when it is binding, and it works not as designed, which is why we do very much agree that it should be fixed. I think our point is a little bit, as Jamie said in his Chairman's letter, that it's not the only thing that needs to be fixed, and there are interactions among all these things. And we, as a bank, are not particularly bound by it. There is some interesting nuance too in terms of the potential TLAC issuance impact there, which is quite sensitive to which particular fix gets put in. So that will be an interesting thing to watch.",2025,Q1
15,,Steven Chubak,analyst,Wolfe Research LLC,"Thank you both for that perspective. And just for my follow-up, did want to ask on the Markets outlook. So, admittedly, less surprising to hear some of the cautious IB commentary in light of the uncertainty. But was hoping you could just speak to the Markets businesses which have been performing extraordinarily well of late and just given the combination of elevated volatility, but also some indications that clients are taking down risk, how you expect that business to perform over the coming quarters.",2025,Q1
15,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah. It's a good question. As you know, Steve, we're obviously not going to give Markets guidance. Your guess is as good as ours at some level. But the ingredients are the right ingredients. I mean, we've often discussed about how this business, all else equal, benefits from a volatile environment if markets are operating relatively normally, which they more or less have been. Of course, it's not guaranteed. We need to do a good job managing the risk. And yeah, there are states of the world where if our clients are struggling or deleveraging or taking down risk, that could be a headwind for us. So we're going to just do what we always do and try to manage the risk well and serve our clients, but we were certainly happy to see the performance this quarter.",2025,Q1
16,,Steven Chubak,analyst,Wolfe Research LLC,That's great. Thank you both for taking my questions. Operator: Thank you. Our next question comes from Gerard Cassidy with RBC Capital Markets. You may proceed.,2025,Q1
17,,Gerard Cassidy,analyst,RBC Capital Markets LLC,"Thank you. Hi, Jeremy and Jamie. Can you guys share with us – if you take a look at the non-traditional lenders, private credit lenders, they've been very active in grabbing market share from the traditional commercial banks over the last two or three years, particularly since the initial Basel III Endgame proposal came out in July of 2023, which is no longer applicable. But are you guys seeing any opportunities where customers may re-intermediate back into the banks like your bank because of this volatility?",2025,Q1
17,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"I mean that's hard to tell, Gerard. I think it's too early to tell. But what I would say is that it kind of – your question aligns with what we've been saying about this space for some time, which is we want to be product agnostic here and give our clients the best option that makes sense for them in the moment. Whether that's a traditional syndicated lending facility or something that looks more like a unitranche, direct lending type structure, we're open for business for all of it. And I would say that when we talk about the financial system being a source – the banking system being a source of strength in this environment, part of what we're talking about is our commitment and willingness to lend through cycles, as we've always done in the past and that we have the underwriting capability and the capital and the liquidity and the experience to be reliable lenders in serving our clients no matter what type of environment we're in. So, if that means that we have an opportunity to compete incrementally even more effectively in this environment, that will be great.",2025,Q1
18,,Gerard Cassidy,analyst,RBC Capital Markets LLC,"Very good. Thank you. And then as a follow-up, you both just talked about the potential changes to the different regulatory outcomes for you and your peers, whether it's SLR or the G-SIB buffer, et cetera. Can you opine for us your views? Are you more confident with the new administration, the new personnel, whether it's Treasury Secretary Bessent or others, the nominees for different regulatory heads that there will be a better chance of real regulatory reform, they see it the way you guys do versus the prior administration?",2025,Q1
18,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah, I mean, Gerard, we always say this, and it's true, which is that we work with all administrations and every administration as constructively as possible to express our opinions and advocate for the things that we think are right for the banking system and for the economy as a whole, and that was true before, and it's true now with this administration as well. Clearly, the administration has been quite vocal about wanting more pro-growth policies at the margin and for wanting to make it easier for banks to participate more constructively in the economy. And as we see the various folks and the various agencies go through the confirmation process, it will be helpful to have people in seats and get to work on some of the things that we want to get done. So let's see how that plays out, but we're looking forward to continuing to engage constructively.",2025,Q1
18,2,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Yeah. I think there's a deep recognition of the flaws in the system, and there should be, and fortunately, they're going to take a good look at it.",2025,Q1
19,,Gerard Cassidy,analyst,RBC Capital Markets LLC,Very good. Thank you.,2025,Q1
19,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Thanks, Gerard. Operator: Thank you. Our next question comes from Ebrahim Poonawala with Bank of America. You may proceed.",2025,Q1
20,,Ebrahim Poonawala,analyst,Bank of America Merrill Lynch,"Thank you. Good morning. I guess just wanted to follow up on the macro uncertainty. I think when you talk to investors, we've gone from enthusiasm for a pro-business administration to a lot of headwinds. And I think Jamie mentioned you'll have companies take down guidance, et cetera, potentially over the coming weeks. I'm just wondering what is it you think we need to see before this uncertainty abates, or the 90-day pause that we saw with some of the other countries on tariffs. Is that enough? Or I'm just wondering when you talk to clients, corporate CEOs, what are they looking for from the administration that would inject confidence to get back anywhere close to where we were maybe 60 or 90 days ago?",2025,Q1
